"","Country","Happiness Score","Suicide Rates 2016 (per 100,000 People)"
"1","Lesotho",3.808,28.9
"2","Belarus",5.483,21.4
"3","Zimbabwe",3.692,19.1
"4","Nigeria",5.155,17.3
"5","Latvia",5.933,17.2
"6","Togo",3.999,16.6
"7","Uruguay",6.379,16.5
"8","Sierra Leone",4.571,16.1
"9","Benin",4.141,15.7
"10","Belgium",6.927,15.7
"11","Chad",4.301,15.5
"12","Burundi",2.905,15
"13","Burkina Faso",4.424,14.8
"14","Estonia",5.739,14.4
"15","Finland",7.632,13.8
"16","Hungary",5.62,13.6
"17","El Salvador",6.167,13.5
"18","Liberia",3.495,13.4
"19","Moldova",5.64,13.4
"20","Poland",6.123,13.4
"21","Iceland",7.495,13.3
"22","Slovenia",5.948,13.3
"23","Mongolia",5.125,13.3
"24","Bolivia",5.752,12.9
"25","Thailand",6.072,12.9
"26","South Africa",4.724,12.8
"27","Haiti",3.582,12.2
"28","Nicaragua",6.141,11.9
"29","Senegal",4.631,11.8
"30","New Zealand",7.324,11.6
"31","Central African Republic",3.083,11.6
"32","Botswana",3.59,11.5
"33","Croatia",5.321,11.5
"34","Namibia",4.441,11.5
"35","Austria",7.139,11.4
"36","Ethiopia",4.35,11.4
"37","Zambia",4.377,11.3
"38","Rwanda",3.408,11
"39","Serbia",5.398,10.9
"40","Ireland",6.977,10.9
"41","Guinea",3.964,10.5
"42","Czech Republic",6.711,10.5
"43","Dominican Republic",5.302,10.5
"44","Luxembourg",6.91,10.4
"45","Norway",7.594,10.1
"46","Slovakia",6.173,10.1
"47","Chile",6.476,9.7
"48","Netherlands",7.441,9.6
"49","Gabon",4.758,9.6
"50","Sudan",4.139,9.5
"51","Paraguay",5.681,9.3
"52","Laos",4.623,9.3
"53","Denmark",7.555,9.2
"54","Germany",6.965,9.1
"55","Kyrgyzstan",5.131,9.1
"56","Argentina",6.388,9.1
"57","Niger",4.166,9
"58","Mali",4.447,8.9
"59","Angola",3.795,8.9
"60","Portugal",5.41,8.6
"61","Somalia",4.982,8.3
"62","Myanmar",4.308,8.1
"63","Romania",5.945,8
"64","Montenegro",5.347,7.9
"65","Bulgaria",4.933,7.9
"66","Malawi",3.587,7.8
"67","Mauritania",4.356,7.5
"68","Costa Rica",7.072,7.5
"69","Uzbekistan",6.096,7.4
"70","Mauritius",5.891,7.3
"71","Ecuador",5.973,7.2
"72","Turkmenistan",5.636,7.2
"73","Turkey",5.483,7.2
"74","Vietnam",5.103,7
"75","Colombia",6.26,7
"76","Madagascar",3.774,6.9
"77","Georgia",4.34,6.7
"78","Malta",6.627,6.5
"79","Bosnia and Herzegovina",5.129,6.4
"80","Afghanistan",3.632,6.4
"81","Brazil",6.419,6.1
"82","Cambodia",4.433,5.9
"83","Belize",5.956,5.9
"84","Qatar",6.374,5.8
"85","Bahrain",6.105,5.7
"86","Armenia",4.321,5.7
"87","Albania",4.586,5.6
"88","Italy",6,5.5
"89","Libya",5.566,5.5
"90","Israel",7.19,5.2
"91","Mexico",6.488,5.2
"92","Peru",5.663,5.1
"93","Egypt",4.419,4.4
"94","Panama",6.43,4.4
"95","Iraq",4.456,4.1
"96","Greece",5.358,3.8
"97","Venezuela",4.806,3.8
"98","Philippines",5.524,3.7
"99","Indonesia",5.093,3.7
"100","Honduras",5.504,3.4
"101","Algeria",5.295,3.3
"102","Tajikistan",5.358,3.3
"103","Tunisia",4.592,3.2
"104","Morocco",5.254,3.1
"105","Guatemala",6.382,2.9
"106","Azerbaijan",5.201,2.6
"107","Kuwait",6.083,2.2
"108","Jamaica",5.89,2
