"","Country","year","value"
"1","Australia",1951,9.41
"2","Denmark",1951,22.4
"3","Iceland",1951,13.5
"4","Italy",1951,6.74
"5","Japan",1951,22.3
"6","Netherlands",1951,6.3
"7","New Zealand",1951,9.76
"8","Norway",1951,5.95
"9","Spain",1951,5.98
"10","Sweden",1951,14.6
"11","United Kingdom",1951,8.08
"12","Australia",1952,10.5
"13","Denmark",1952,21.8
"14","Iceland",1952,12.6
"15","Italy",1952,6.21
"16","Japan",1952,22
"17","Netherlands",1952,6.49
"18","New Zealand",1952,10.1
"19","Norway",1952,6.34
"20","Spain",1952,6.06
"21","Sweden",1952,14.9
"22","United Kingdom",1952,7.79
"23","Australia",1953,10.8
"24","Denmark",1953,23
"25","Iceland",1953,8.73
"26","Italy",1953,6.31
"27","Japan",1953,23.7
"28","Netherlands",1953,6.71
"29","New Zealand",1953,9.71
"30","Norway",1953,6.93
"31","Spain",1953,6.02
"32","Sweden",1953,16.4
"33","United Kingdom",1953,8.47
"34","Australia",1954,10.7
"35","Denmark",1954,22.1
"36","Iceland",1954,13.6
"37","Italy",1954,5.89
"38","Japan",1954,26.4
"39","Netherlands",1954,6.42
"40","New Zealand",1954,8.6
"41","Norway",1954,6.78
"42","Spain",1954,5.88
"43","Sweden",1954,14.8
"44","United Kingdom",1954,8.93
"45","Australia",1955,10.3
"46","Denmark",1955,22.1
"47","Iceland",1955,16.2
"48","Italy",1955,6.43
"49","Japan",1955,28.1
"50","Netherlands",1955,6.14
"51","New Zealand",1955,9.07
"52","Norway",1955,6.81
"53","Spain",1955,5.5
"54","Sweden",1955,15.5
"55","United Kingdom",1955,8.92
"56","Australia",1956,10.8
"57","Denmark",1956,21.2
"58","Iceland",1956,13.7
"59","Italy",1956,6.48
"60","Japan",1956,27.2
"61","Netherlands",1956,6.02
"62","New Zealand",1956,9.46
"63","Norway",1956,6.66
"64","Spain",1956,5.27
"65","Sweden",1956,17.6
"66","United Kingdom",1956,9.33
"67","Australia",1957,12.2
"68","Denmark",1957,20.7
"69","Iceland",1957,9.47
"70","Italy",1957,6.25
"71","Japan",1957,26.6
"72","Netherlands",1957,6.4
"73","New Zealand",1957,10
"74","Norway",1957,6.65
"75","Spain",1957,5.25
"76","Sweden",1957,17.4
"77","United Kingdom",1957,9.35
"78","Australia",1958,12.5
"79","Denmark",1958,19.6
"80","Iceland",1958,6.01
"81","Italy",1958,5.94
"82","Japan",1958,27.6
"83","Netherlands",1958,6.72
"84","New Zealand",1958,10.2
"85","Norway",1958,6.56
"86","Spain",1958,4.99
"87","Sweden",1958,14.9
"88","United Kingdom",1958,9.39
"89","Australia",1959,11.2
"90","Denmark",1959,19.8
"91","Iceland",1959,7.4
"92","Italy",1959,5.98
"93","Japan",1959,24.6
"94","Netherlands",1959,7
"95","New Zealand",1959,9.24
"96","Norway",1959,7.13
"97","Spain",1959,5.1
"98","Sweden",1959,15.9
"99","United Kingdom",1959,9.22
"100","Australia",1960,10.8
"101","Denmark",1960,18.9
"102","Iceland",1960,9.12
"103","Italy",1960,5.76
"104","Japan",1960,23.2
"105","Netherlands",1960,6.64
"106","New Zealand",1960,10.3
"107","Norway",1960,6.05
"108","Spain",1960,5.48
"109","Sweden",1960,15.2
"110","United Kingdom",1960,9.09
"111","Australia",1961,12.2
"112","Denmark",1961,15.6
"113","Iceland",1961,11.9
"114","Italy",1961,5.21
"115","Japan",1961,21.1
"116","Netherlands",1961,6.56
"117","New Zealand",1961,9.06
"118","Norway",1961,6.25
"119","Spain",1961,5.11
"120","Sweden",1961,14.7
"121","United Kingdom",1961,9.14
"122","Australia",1962,14.2
"123","Denmark",1962,17.7
"124","Iceland",1962,10.6
"125","Italy",1962,5.08
"126","Japan",1962,18.9
"127","Netherlands",1962,6.53
"128","New Zealand",1962,9.05
"129","Norway",1962,7.25
"130","Spain",1962,4.81
"131","Sweden",1962,16.2
"132","United Kingdom",1962,9.84
"133","Australia",1963,16.3
"134","Denmark",1963,17.7
"135","Iceland",1963,9.38
"136","Italy",1963,4.88
"137","Japan",1963,17.3
"138","Netherlands",1963,6.09
"139","New Zealand",1963,10.3
"140","Norway",1963,7.29
"141","Spain",1963,4.8
"142","Sweden",1963,16.3
"143","United Kingdom",1963,10.1
"144","Australia",1964,15.1
"145","Denmark",1964,19.3
"146","Iceland",1964,10.1
"147","Italy",1964,5.02
"148","Japan",1964,16.3
"149","Netherlands",1964,6.48
"150","New Zealand",1964,8.6
"151","Norway",1964,6.61
"152","Spain",1964,4.76
"153","Sweden",1964,17.4
"154","United Kingdom",1964,9.7
"155","Australia",1965,15.4
"156","Denmark",1965,17.7
"157","Iceland",1965,12.8
"158","Italy",1965,5.08
"159","Japan",1965,15.8
"160","Netherlands",1965,6.78
"161","New Zealand",1965,9.87
"162","Norway",1965,7.19
"163","Spain",1965,4.55
"164","Sweden",1965,16.6
"165","United Kingdom",1965,9.03
"166","Australia",1966,14.5
"167","Denmark",1966,16.3
"168","Iceland",1966,22
"169","Italy",1966,4.76
"170","Japan",1966,16.1
"171","Netherlands",1966,6.98
"172","New Zealand",1966,9.77
"173","Norway",1966,6.46
"174","Spain",1966,4.4
"175","Sweden",1966,17.7
"176","United Kingdom",1966,8.78
"177","Australia",1967,15.7
"178","Denmark",1967,16.1
"179","Iceland",1967,18.4
"180","Italy",1967,5.07
"181","Japan",1967,14.9
"182","Netherlands",1967,6.16
"183","New Zealand",1967,10.9
"184","Norway",1967,6.34
"185","Spain",1967,4.24
"186","Sweden",1967,19.3
"187","United Kingdom",1967,8.31
"188","Australia",1968,13.2
"189","Denmark",1968,18.8
"190","Iceland",1968,8.29
"191","Italy",1968,4.91
"192","Japan",1968,15
"193","Netherlands",1968,6.14
"194","New Zealand",1968,10.4
"195","Norway",1968,7.57
